Article ID,Label,Pattern,Publish Date,Article URL
407,PER,J.B. Pritzker,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,PER,Pritzker,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,PER,Pritzker,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,PER,Pritzker,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,The Climate,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,CEJA,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,the Illinois EPA,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,PER,Pritzker,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,PER,Pritzker,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,Lion electric school bus factory,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,PER,Pritzker,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,Rivian,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,PER,Lion,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,The Illinois EPA,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,the Illinois EPA,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,EPA,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,American Council for an Energy-Efficient Economy,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,PER,Pritzker,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,PER,Pritzker,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,PER,Bruce Mainzer,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,United Airlines,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,Hyatt Hotels,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
407,ORG,Electric Vehicle Campaign and Fleet Electrification Campaign,2023-08-23 01:00:00,https://www.dailyherald.com/discuss/20230823/illinois-lagging-in-encouraging-ev-purchases/
3118,ORG,GHG,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,PER,Biden,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,PER,Bipartisan Infrastructure Law,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,ORG,the U.S. Methane Emissions Reduction Action Plan,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,ORG,Rhodium Group’s,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,ORG,IRA,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,ORG,BIL,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,ORG,GHG,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,PER,Biden,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,ORG,Rhodium Group’s,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,ORG,GHG,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,ORG,GHG,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
3118,ORG,GHG,2023-08-21 08:30:00,https://www.forbes.com/sites/ankitmishra/2023/08/21/3-key-measures-to-advance-2030-climate-change-goals-in-the-united-states/
